X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.04901492,0.04901492,0.04901492,0.04901492,0.099022278,0.04901492,0.04901492,0.074017982,0.04901492,0.04901492,0.074017982,0.04901492,0.074017982,0.049016905,0.04901492,0.074017982,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.074017982,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.074017982,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.074017982,0.04901492,0.049016905,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.074017982,0.04901492,0.074017982,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.04901492,0.04901492,0.04901492,0.074017982,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.049016905,0.04901492,0.04901492,0.04901492,0.04901492,0.074017982,0.04901492,0.04901492,0.04901492,0.074017982,0.04901492,0.04901492,0.04901492,0.04901492,0.074017982,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.074017982,0.04901492,0.04901492,0.04901492,0.074017982,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.07401996,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.074017982,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.074017982,0.04901492
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.049016905,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.074017982,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.04901492,0.074017982,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.049016905,0.04901492,0.04901492,0.074017982,0.04901492,0.04901492,0.04901492,0.04901492,0.074017982,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.049016905,0.074017982,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.074017982,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.074017982,0.04901492,0.04901492,0.074017982,0.074017982,0.04901492,0.049016905,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.074017982,0.074017982,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.074017982,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.049016905,0.04901492,0.04901492,0.04901492,0.074017982,0.04901492,0.04901492,0.074017982,0.04901492,0.04901492,0.074017982,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.074017982,0.074017982,0.04901492
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.04901492,0.04901492,0.04901492,0.04901492,0.049016905,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.074017982,0.074017982,0.04901492,0.04901492,0.04901492,0.04901492,0.074017982,0.04901492,0.04901492,0.074017982,0.04901492,0.04901492,0.04901492,0.04901492
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.04901492,0.04901492,0.04901492,0.049016905,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.074017982,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.074017982,0.074017982
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.04901492,0.04901492,0.049016905,0.04901492,0.04901492,0.04901492,0.074017982,0.04901492,0.04901492,0.074017982,0.04901492,0.04901492,0.04901492,0.074017982,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.04901492,0.049016905,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.074017982,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.049016905,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.074017982,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.074017982,0.074017982
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.049016905,0.049016905,0.049016905,0.049016905,0.049016905,0.049016905,0.049016905,0.049016905,0.049016905,0.049016905,0.049016905,0.049016905,0.049016905,0.049016905,0.07401996,0.07401996,0.049016905,0.049016905,0.049016905,0.049016905,0.049016905,0.049016905,0.049016905,0.049016905
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.074017982,0.04901492,0.04901492,0.074017982,0.074017982,0.04901492,0.04901492,0.04901492,0.04901492,0.074017982,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.04901492,0.074017982,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.074017982,0.04901492,0.04901492,0.04901492,0.04901492
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.074017982,0.04901492,0.04901492,0.04901492,0.074017982,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.074017982,0.04901492,0.04901492,0.074017982,0.04901492,0.04901492,0.04901492,0.04901492
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.074017982,0.04901492,0.099022278,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.04901492,0.074017982,0.04901492,0.074017982,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.04901492,0.04901492,0.04901492,0.04901492,0.074017982,0.04901492,0.04901492,0.04901492,0.04901492,0.074017982
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.04901492,0.074017982,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.04901492,0.04901492,0.04901492,0.04901492,0.04901492
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.04901492,0.04901492,0.04901492,0.04901492
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.04901492,0.04901492,0.04901492
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.04901492,0.04901492
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.04901492
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
